   0:0x0000	TokenComment	0:46	1:1:0	"// Copyright 2020-2024 Buf Technologies, Inc.\n"
   1:0x0001	TokenComment	46:49	2:1:0	"//\n"
   2:0x0002	TokenComment	49:116	3:1:0	"// Licensed under the Apache License, Version 2.0 (the \"License\");\n"
   3:0x0003	TokenComment	116:184	4:1:0	"// you may not use this file except in compliance with the License.\n"
   4:0x0004	TokenComment	184:227	5:1:0	"// You may obtain a copy of the License at\n"
   5:0x0005	TokenComment	227:230	6:1:0	"//\n"
   6:0x0006	TokenComment	230:281	7:1:0	"//      http://www.apache.org/licenses/LICENSE-2.0\n"
   7:0x0007	TokenComment	281:284	8:1:0	"//\n"
   8:0x0008	TokenComment	284:355	9:1:0	"// Unless required by applicable law or agreed to in writing, software\n"
   9:0x0009	TokenComment	355:424	10:1:0	"// distributed under the License is distributed on an \"AS IS\" BASIS,\n"
  10:0x000a	TokenComment	424:500	11:1:0	"// WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"
  11:0x000b	TokenComment	500:571	12:1:0	"// See the License for the specific language governing permissions and\n"
  12:0x000c	TokenComment	571:605	13:1:0	"// limitations under the License.\n"
  13:0x000d	TokenSpace	605:606	14:1:0	"\n"
  14:0x000e	TokenIdent	606:613	15:1:0	"edition"
  15:0x000f	TokenSpace	613:614	15:8:7	" "
  16:0x0010	TokenPunct	614:615	15:9:8	"="
  17:0x0011	TokenSpace	615:616	15:10:9	" "
  18:0x0012	TokenNumber	616:620	15:11:10	2023	"2023"
  19:0x0013	TokenPunct	620:621	15:15:14	";"
  20:0x0014	TokenSpace	621:623	15:16:15	"\n\n"
  21:0x0015	TokenIdent	623:630	17:1:0	"package"
  22:0x0016	TokenSpace	630:631	17:8:7	" "
  23:0x0017	TokenIdent	631:635	17:9:8	"test"
  24:0x0018	TokenPunct	635:636	17:13:12	";"
